,name,introduction,Area (Sq. km),Forest Area (acres),Total Housing Units,No. of Tehsils,No. of Union Councils,Population,Population Density per Sq. Km,Ratio Male per hundres females,Urban Population,Rural Population,Male,Female,Transgender,Labour force,Number of Printing Presses,Number of Television Sets,Operational Bank Branches,Sale of fertilizers (tonnes),Number of Animals,Number of Cattle,Value produced by manufacturing industries,Average daily persons engaged in industry (No),Employment cost,Wages & Salaries,Multi Dimensional Poverty Index,Road Kilometrage,Railway Route Kilometrage,Motor Vehicles Registered,Number of Exchanges,Telephone Connections,Public Call offices,Number of Post Offices,Govt. Health Institutions,Bed Strength,Number of Doctors,Registered Private Medical Practitioners,Number of patients treated,Percentage of children fully immunized Urban,Immunized rural,Percentage of households with tap water Urban,Rural,Percentage of households with toilet facility,Number of primary schools,Number of middle schools,Number of high schools,Number of higher secondary schools,Learning Score Percentage,Edu Inst Availability of Electricity,Edu Inst Availability of Water,Edu Inst Availability of Toilet,Private Health Institutions,Province
0,Abbottabad,"Abbottabad is a district in the North-West Frontier Province of Pakistan. The district covers an area of 1,967 km with the city of Abbottabad being the principal town of this district. Neighbouring districts are Mansehra to the north, Muzaffarabad to the east, Haripur to the west, and Rawalpindi to the south. Abbottabad, the headquarters of Hazara Division, situated at an altitude of 1,225 m (4002 ft) above sea level and surrounded by refreshing green hills of Sarban, is one of the best-known hill resorts of Pakistan. It is situated on the Karakoram Highway (Silk Route) to China, 120 Km from Rawalpindi/Islamabad and 205 Km from Peshawar.

Abbottabad is blessed with many natural resources. It is especially famous for the production of agricultural products, mining, tourism, industries of various products, and dependence on natural resources. All these produce play an important role in economic uplift of the people of Abbottabad.Some of the minerals mined within the district are barite, dolomite, granite, gypsum, limestone, magnesite, marble, phosphate, red ochre and red oxide.

A few small scale industries are available which are still in developing stage and there is great potential for these industries products to contribute to the national income and also in reducing unemployment in the region and make improve the living standard of the locality, if they are given proper attention and assistance from the concerned authorities. A small industrial estate has been established at Mandian, 5 km away from Abbottabad city where cement, woodwork, PVC pipes, wires and cement pipes are prepared.

Although Abbottabad is a district as well as divisional headquarter, Havelian is the trade center due to railway station connected with Punjab/ Peshawar and other parts of the country through railway line. The government has established an export promotion bureau office headed by an Assistant Director to promote trade in the district.",1967,199710,216534,2,51,1332912,678,103,293137,1039775,677570,655281,61,176031,35,106472,94,1804,1259917,111415,527475,107,4420,4174,0.149,1076.87,6.5,57724,24,21013,122,135,11,1410,460,383,1221830,100,95,93,66,91,1359,166,117,26,79.54,69.68,74.98,92.13,,KPK
1,Bannu,"The district Bannu is approximately 192 kilometers to the south of Peshawar and lies in a sedimentary basin. It is flanked and guarded on all sides by the hard and dried mountain ranges of Koh-e-Safed and Koh-e-Suleiman. The district forms a basin drained by the Kurram and Gambila rivers, which originate in the hills of Waziristan. 

It is a scenic part of the southern region. They have made it a land of meadows, crops and orchards. Every kind of crop and fruit can be grown in it, but the banana, dates, figs and rice are unique in their taste, smell and shape. Geographically, the modern day Bannu is located in the heart of the southern region with its boundaries touching the districts of Karak, Lakki Marwat and the North, South Wazirestan Agencies.

The major industries of Bannu are cloth weaving and manufacturing of cotton fabrics, machinery and equipment. It is famous for its weekly Jumma fair. Although Bannu is surrounded by rugged and dry mountains, it is a very fertile place, and early English visitors had been known to refer to it as a paradise.

Bannu has huge economic importance as it is the central market of the whole “Southern Region”, and furthermore it provides a safe and short route to the “Central Asian Markets”. Baran Dam is a unique source of irrigation it is the only dam in Pakistan, situated in a natural low basin area and has never needed reconstruction since its initiation .The Baran Dam play a major role in irrigation of the district. Bannu has pure drinking water provided to all the segments of society. About the 45% of the land are irrigated through canal which grows Sugarcanes, Maize and Wheat . Mango ,Guava and Date of district Bannu are very famous and supplied to different cities of the country. Another famous icon of district Bannu is Spices which is supplied to different areas of the NWFP. Bannu is a central place for trade with districts of Karak and Lakki Marwat, North Waziristan agency and frontier region of Bannu. It lies on Indus highway. All the essential commodities/goods are first marketed in Bannu and then dispatched to the above mentioned district, agency and frontier region. The Main markets are Tanchi Bazzar, Chock Bazzar, Kam Bazzar ,Lucky Gate, Kasaban Gate, Kachary Gate . Pori Gate, Hinjal Gate, Patati Gate, Mandan Gate etc..

According to the Gazetteer of the Bannu district 1883 the imports of this District were silk, Indigo, drugs, ‘Ghi’, wood, oil, iron, mats and tobacco. However, in terms of exports country cloth for home wear was woven in every village in quantities sufficient to meet the local demand. The Gazetteer also states that the principle items of production in Bannu are alum, turmeric, cotton, wool, gram, wheat, oil-seed, bajra, and pulses of various kinds. Most of the items stated are still the major commodities produced in Bannu and its main exports.",1227,35587,119993,2,40,1167892,952,103,49965,1117927,593492,574391,9,128222,18,34655,68,4225.4,1999290,168927,870443,825,63293,61093,0.289,795,0,66386,21,8536,1,104,7,848,387,227,1028385,100,95,78,53,97,1132,143,99,22,61.15,99.91,99.91,99.91,1,KPK
2,Battagram,"Battagram is located at the latitude of 34.41 and longitude 73.1. It is bordered by Kohistan District to the North, Mansehra District to the East, Torghar District to the South and Shangla District to the West. Its headquarter is at Battagram Town at a distance of about 75km from Mansehra on the Silk Highway.

According to ERRA District Profile published in 2007 most of the people are illiterate and their source of earning is farming. However, a significant number of locals that are residing and working in Thailand, Malaysia and Middle East have brought prosperity to the area.

The major trading centers are at Banna, Thakot, Kuza Banda, Shamlai and Battagram. People operate small shops and hotels at these centers. Transport is also a common business. Small pickups and vans are used for traveling.",1301,246839,69525,2,20,476612,366,100,0,476612,238209,238393,10,69042,0,30747,16,183,1025753,119699,9752524,1598,341990,341990,0.422,622.32,,2580,3,2292,,37,2,40,128,31,528516,0,100,0,55,79,679,47,42,2,86.79,67.19,75.14,88.35,5,KPK
3,Buner,"This district of KP is commonly known as Buner Valley because of being surrounded by hills. It lies between 34-9 and 34-43 N latitude and 72-10 and 72-47 E longitude. Elevation varies from 1200 ft in Totalai (Khudukhel) in the South to 9,550 ft of Dosara Peak in the North. There are three main rivers namely Barandu, Chamla and Budal and the former flows in the midst of the District.

The rule of “Wali” started in 1915 in the Swat and Buner was annexed with the state of Swat in 1922. It remained as a part of Swat state till it merged with Pakistan on 29th July 1969. In 1991 Buner was upgraded to the District level.

Buner has no urban centers and the whole district is categorized as a rural area. Economically, majority of the people are poor and depend upon agriculture and livestock. Few people are engaged in marble business and are relatively rich. At village level 95% income comes from agriculture and livestock, 4% from daily labor and 1% from other activities.

Main sources of livelihood come from agriculture, livestock, minerals, processing industries, and services sector.

Main forest types are shrubs (acacia, kaha sanatha etc) at lower elevation and chir pines at higher elevation. Local people are dependent on this forest to meet their timber, fuel wood and fodder requirements.

The mountains surrounding the Buner valley are rich of minerals. The marble dominates with estimated reserves of about 1,400 million tons and colors of Bampokha White, Jet Black, Carrara White, Sunny White, and Sunny Gray. Few mines are extracting blocks in squared shape with the use of modern machinery. Such modernized mining is done for Bampokha White, Carrara white, Jet Black, and Sunny white.

Due to the dominance of agriculture, the services are also allied to this sector, like, the fertilizer and pesticides supply, and farm machinery rental services.

Other services include, the retail shops, grain trading, small restaurants, and auto allied repair and maintenance services.",1865,273765,94095,4,29,897319,481,9,0,897319,446997,450317,5,98098,1,,26,1331,1130620,131985,113658,551,18945,18945,0.373,413.95,,9058,13,5247,,32,4,303,208,83,577038,0,100,0,24,81,604,81,74,20,29.54,82.28,87.42,98.84,,KPK
4,Charsadda,"Charsadda is 17 miles from Peshawar located in the west of the NWFP and is bounded by Malakand District on the north. Mardan district on the east, Nowshera and Peshawar districts on the south and the Mohmand Agency on the west. This district has one of the most fertile lands in Khyber Pakhtunkhwa.

The land of Charsadda is very fertile and beautiful. There are three rivers flowing in Charsadda: the River Jindi, the Kabul River, and the Swat River; these are the main source of irrigation for Charsadda. The three rivers then merge and join the Indus River. The main crops of Charsadda are; Tobacco, Sugarcane, Sugar beet, Wheat and Maize. Vegetables include Potato, Tomato, Cabbage, Brinjals, Okra and Spinach.

Among orchards; Apricot, Citrus, Plum, Strawberry and Pears are famous. Strawberry, Sugarcane and Tobacco are cultivated vary abundantly in this area. Among these Strawberry are sold in different area of the province due to its good quality and taste.

The famous icon of Charsadda is also Foot Wearing, Cloth Wearing and Fishery and contributes a lot as a economic key for the district. Many hundreds of people are concern in making Foot Wearing which is locally called Peshaware Chapel or Kerai. There are more than 500 footwear manufacturing units that have also started making hand made shoes, bags, belts and small leather accessories but the most popular and highly produced item is footwear (Peshaware Chapal). 

Presently large amounts of pairs is exported as well as transferred to other cities of Pakistan for retail and export purpose. The exports that are done from Charsadda to Saudi Arabia and United Arab Emirates are more than 250,000 pairs annually; The Foot Wear manufacturing units are located in the main market of Charsadda in commercial centers. Similarly Cloth Wearing manufacturing is also an attractive business for the people of Charsadda People use Power Looms & Hand Looms for manufacturing Cloth Wears. Many hundreds of people are concern in this field. These Cloth Wears are not only exported to other cities of the country but to other countries as well and making good business for People of Charsadda due to its good quality.",996,176877,221058,3,49,1616198,1623,103,270175,1346023,820520,795657,21,209667,8,87897,39,23035,1750692,239899,681110,646,44023,43807,0.213,411.32,15.55,24144,19,6973,0,87,4,440,410,205,1930704,100,100,19,1,84,969,99,99,26,46.48,99.79,99.79,99.79,,KPK
5,Chitral,"District Chitral is the north-most district of Pakistan, situated just across the border from Afghanistan. It is situated in between the succession range of Koh Hindukush. It is one of the largest district of NWFP provinces, which consist of two tehsils of Chitral and Mastuj. It is bounded on the north side with the Wakhan Patti of Afghanistan through Dorah pass, which is a link between Pakistan and Tajikistan, on the north-west by the Hindukush mountains, on the east side with swat, on the north-east side with Gilgit through the Shandoor pass, on the west side with the Afghanistan province Noristan through the Kalash valley, on the south side with the district upper Dir through the lowari pass, on the south-west side to the Afghan province Kunar through the Arrundu.

From ancient times, Chitral was an important point on the trade routes from northern Afghanistan (ancient Bactria) and the Tarim Basin to the plains of Gandhara (in northern Pakistan), and the region near Jalalabad, in eastern Afghanistan.

The people belong to over a dozen different cultures and speak more then 14 languages. As a result of its unique location and historical links with the Central Asia and Europe, the material and non-material culture of Chitral bears traces of Greeks, Iranians, Mongolian, Tatar and Turk influences. It remained an independent state for centuries with its own culture and language. In the late nineteenth century it became part of British India.

One of the famous products of Chitral is Chitrali Patti. Chitrali Patti, called “Shu” in Khowar, is a pure wool fabric, woven from entirely hand-spun yarn. It comes in natural shades of white, gray, black and brown, and the distinctive walnut-dyed, red.

Most of the populations of the district involve in the agricultural sector. Different agricultural products are grown in the district.The main crops of the district are Wheat, Maize, Rice, Bajra and Barley. District Chitral is rich of different kinds of fruits i.e. apples, pears, apricot, mulberry, grapes etc. Apple and Apricot are the main fruits. These fruits are dried and send to the markets. Chitrali dry fruits are famous through out the country. Different kinds of vegetables are found in district Chitral. The mostly vegetables found in Chitral are potato, onion, brinjal, turnip, carrot, tomatoes and chilies.

The most popular and main market place of the district is the Chitral city bazar, from where every kind of products and things of the daily use are exported to the different areas of the district.

The major minerals found in the district are Marbles and Serphentine.",14850,125677,61619,2,24,447362,30,102,49794,397568,225846,221515,1,63245,2,29,29,0,1131624,174842,0,0,0,0,0.194,1441.63,,2347,15,5347,0,100,4,290,212,11,613816,100,100,96,71,96,656,83,76,4,47.06,76.48,89.8,94.24,,KPK
6,Dera Ismail Khan,"The district of Dera Ismail Khan is bounded on the east by the Bhakkar and Dera Ghazi Khan districts of Punjab. Eastern portions of the district along the Indus River are characterized by fertile alluvial plains, while lands farther from the river consist of clay soil cut by ravines from rainfall. The district is bound on the southwest by a thin strip of South Waziristan District, which seperates D.I Khan from the Takht-e-Sulaiman Mountain in neighbouring Balochistan province. In the northwest is Tank District.

One of the most famous products of this district is ""Dhakki date"", which is exported to Middle East, United States, and Europe. This date or khajoor is grown in the nearby village of Dhakki 49km away on Chashma Road. This district also produces wheat, sugar cane (ganna), Good rice, and a very famous variety of mango called langra. The most desirable langras are grown in village of Panyala. Nowadays D I Khan is increasingly exporting another type of dried date called chooara. The majority of chooara are produced in Dhakki, Mitrah Abad and Saidu Wali. Saidu Wali is the village of D I Khan situated in Tehsil Pahar Pur about 58 km from D I Khan near Dhakki and Pahar Pur. There are also coal mines in the village of Saidu Wali on the edge of CRBC Canal. The bazars of the city all converge in one area, called Chowgalla (literally ""intersection"") Major bazars include Topanwala bazar, Bhatiya bazar, Muslim bazar, Kalan bazar and Bakhiri bazar. Like other cities and towns of the Saraiki-speaking belt, Dera Ismail Khan is also famous for a desert delicacy called sohan halwa. Shops selling this sweet are primarily situated in Topawaala bazar. Dera Ismail Khan is also famous for its lacquered woodwork, glass and ivory ware, mats, and sarongs. Newer industries within the city include sugar, soap, textile and oil milling. Radio Pakistan is also situated in D.I.Khan., telecasting Saraiki and Pashto programs. CRBC Canal is the major canal which provides water for irrigation.",7326,74525,201301,5,49,1627132,222,106,362231,1264901,838793,788294,45,181338,35,37798,57,25453,2791260,411432,2271995,2109,125496,125486,0.362,1178.553,0,165691,21,8672,1,110,11,665,326,123,1264427,100,98,15,19,91,1219,186,121,35,45.78,99.35,99.35,99.35,,KPK
7,Hangu,"Hangu District was created from Kohat on 30 June 1996. The economic development model for District of Hangu seems to rest on harvesting its hydrocarbon exploration potential (oil, gas and coal), industrialization based on oil and gas services industry and Limestone Extraction Hub.",1097,181645,48270,2,19,518798,473,93,102440,416358,249554,269237,8,45551,1,20422,33,33,604620,70451,0,0,0,0,0.271,515.06,,5101,17,7552,0,26,5,40,122,70,428915,100,96,25,19,95,300,32,36,3,58.43,96.21,96.21,96.53,2,KPK
8,Haripur,"The strategic importance of the district is revealed from the fact that it has facilitated military campaigns as well as trade flow. Starting from 1399 A.D., the Turk King Taimur during his return to Kabul stationed his soldiers in the region to protect the Kabul to Kashmir route. Later on during the rule of Mughals, the same region continued to provide main route to Kashmir. Though the local tribe Tareen under the patronage of Ahmed Shah Durrani started ruling the area in the 18th century but lost their control to Sikhs in the beginning of the 19th century. It was in 1822 when the Hari Singh Nalwa, a Sikh General of the Ranjit Singh’s army founded the present day’s . The district is hence named after the founder, which means the village of Hari. The current district with three Tehsils has a total area of 1725 Square Kilometers, having an altitude of 1,706 ft, and situated at the junction of Khyber Pakhtunkhwa and Punjab. Due to being located on the side of Indus River, the world’s largest earth and rock filled (Tarbela) Dam was completed within the district in 1976. Later on another dam (Khanpur Dam) was built on Haro River in 1983. The presence of Indus River and these two dams mean abundance of fresh water for the district as well as electricity generation for the country.

The boundaries of Haripur touch with the Abbotabad district in the North East, Mansehra district in the North. In the West it shares boundaries with the district Buner and Swabi. Apart from these districts of KP, it joins two major districts of the Punjab province, namely, the Attock in the South West, and Rawalpindi in South the South East. The proximity (65 Km distance) of the to the Federal Capital “Islamabad” adds to its geographical and economical importance.

Haripur district is comparatively more industrialized than other districts in KP. There are many big factory units here like Telephone Industries of Pakistan, NRTC (National Radio Telecommunication Corporation), Hazara fertilizers, Razzaq Blanket Industry, Ali Hussain Poultry, Khwaja Children Home, Pak-China Fertilizers, Terbela Cotton Mills etc. Furthermore, many small and big industrial factories are made in the Hatar industrial estate such Dewan Salman Fibre and Heavy Electrical Complex. Due to these industries this district is playing an important role at the national level in economic development.

Since Haripur has developed situation of medium and big industries, its role in the agricultural field is also admirable. This district especially provides fruits and vegetables not only to Peshawar but also to Islamabad and Punjab. There is more likelihood of social and economical development due to the project of Ghazi Brotha and Motorway from Peshawar to Islamabad.",1725,184271,163490,2,45,1003031,581,99,126577,416538,498481,504483,67,128780,16,111357,70,2424,1165838,130215,54475452,17041,2332165,2225168,0.11,710,41,41341,28,16771,56,94,10,651,285,236,858170,87,100,75,34,90,924,129,119,20,98.31,97.6,97.71,99.56,,KPK
9,Karak,"Karak is situated to the south of Kohat District and on the north side of Bannu and Lakki Marwat districts on the main Indus Highway between Peshawar and Karachi. It is 123 km from the provincial capital Peshawar. Khattak tribe predominantly populates the district; one of the famous tribes of Pashtuns. Karak has one of the largest uranium mines in Pakistan under supervision of Pakistan Atomic Energy Commission. Gas has been recently discovered in Shakardara, Gurguri and Makori areas. Agriculture is the main source of living of people.

One of the most famous products of this district is “Honey” which is exported to Middle East, United States, and Europe. Honey production is widespread in Karak. The most important indigenous flora for honey production includes Ber and Phulai (Acacia). Ber honey is very popular. Due to the fine quality of honey, it is exported to markets at provincial and national level. Most of the honey entrepreneurs producing Ber honey were outsiders. Beside honey karak is well know for vinegar production that is been transferred to all over Khyber Pakhtunkhwa. Hand made mazari products are also a good product of this area and exported to Middle East, United States and Europe. Gypsum of high quailty is found in karak which is used in manufacturing of urea. Small units of Salt manufacturing are also present in the area, which full fills the needs of all surrounding areas of NWFP.

Currently very few industries are in operation in the district and most of the units are very small without modern machinery and other technical infrastructure. Industrial estate Karak has been recently established which is under process.",3372,87604,73144,3,21,706299,209,98,51149,655150,349433,356863,3,61504,2,66923,23,33,1213624,212496,0,0,0,0,0.253,337.352,0,17990,16,1820,0,70,8,532,239,34,687195,100,99,17,17,92,773,82,84,13,27.51,99.74,99.74,99.74,,KPK
